PassengerId,Survived,Pclass,Gender,Age,Fare,Embarked,Family
457,0,1,male,65,26.55,S,0
458,1,1,female,30,51.8625,S,1
459,1,2,female,50,10.5,S,0
460,0,3,male,30,7.75,Q,0
461,1,1,male,48,26.55,S,0
462,0,3,male,34,8.05,S,0
463,0,1,male,47,38.5,S,0
464,0,2,male,48,13,S,0
465,0,3,male,30,8.05,S,0
466,0,3,male,38,7.05,S,0
467,0,2,male,30,0,S,0
468,0,1,male,56,26.55,S,0
469,0,3,male,30,7.725,Q,0
470,1,3,female,1,19.2583,C,3
471,0,3,male,30,7.25,S,0
472,0,3,male,38,8.6625,S,0
473,1,2,female,33,27.75,S,3
474,1,2,female,23,13.7917,C,0
475,0,3,female,22,9.8375,S,0
476,0,1,male,30,52,S,0
477,0,2,male,34,21,S,1
478,0,3,male,29,7.0458,S,1
479,0,3,male,22,7.5208,S,0
480,1,3,female,2,12.2875,S,1
481,0,3,male,9,46.9,S,7
482,0,2,male,30,0,S,0
483,0,3,male,50,8.05,S,0
484,1,3,female,63,9.5875,S,0
485,1,1,male,25,91.0792,C,1
486,0,3,female,30,25.4667,S,4
487,1,1,female,35,90,S,1
488,0,1,male,58,29.7,C,0
489,0,3,male,30,8.05,S,0
490,1,3,male,9,15.9,S,2
491,0,3,male,30,19.9667,S,1
492,0,3,male,21,7.25,S,0
493,0,1,male,55,30.5,S,0
494,0,1,male,71,49.5042,C,0
495,0,3,male,21,8.05,S,0
496,0,3,male,30,14.4583,C,0
497,1,1,female,54,78.2667,C,1
498,0,3,male,30,15.1,S,0
499,0,1,female,25,151.55,S,3
500,0,3,male,24,7.7958,S,0
501,0,3,male,17,8.6625,S,0
502,0,3,female,21,7.75,Q,0
503,0,3,female,30,7.6292,Q,0
504,0,3,female,37,9.5875,S,0
505,1,1,female,16,86.5,S,0
506,0,1,male,18,108.9,C,1
507,1,2,female,33,26,S,2
508,1,1,male,30,26.55,S,0
509,0,3,male,28,22.525,S,0
510,1,3,male,26,56.4958,S,0
511,1,3,male,29,7.75,Q,0
512,0,3,male,30,8.05,S,0
513,1,1,male,36,26.2875,S,0
514,1,1,female,54,59.4,C,1
515,0,3,male,24,7.4958,S,0
516,0,1,male,47,34.0208,S,0
517,1,2,female,34,10.5,S,0
518,0,3,male,30,24.15,Q,0
519,1,2,female,36,26,S,1
520,0,3,male,32,7.8958,S,0
521,1,1,female,30,93.5,S,0
522,0,3,male,22,7.8958,S,0
523,0,3,male,30,7.225,C,0
524,1,1,female,44,57.9792,C,1
525,0,3,male,30,7.2292,C,0
526,0,3,male,40,7.75,Q,0
527,1,2,female,50,10.5,S,0
528,0,1,male,30,221.7792,S,0
529,0,3,male,39,7.925,S,0
530,0,2,male,23,11.5,S,3
531,1,2,female,2,26,S,2
532,0,3,male,30,7.2292,C,0
533,0,3,male,17,7.2292,C,2
534,1,3,female,30,22.3583,C,2
535,0,3,female,30,8.6625,S,0
536,1,2,female,7,26.25,S,2
537,0,1,male,45,26.55,S,0
538,1,1,female,30,106.425,C,0
539,0,3,male,30,14.5,S,0
540,1,1,female,22,49.5,C,2
541,1,1,female,36,71,S,2
542,0,3,female,9,31.275,S,6
543,0,3,female,11,31.275,S,6
544,1,2,male,32,26,S,1
545,0,1,male,50,106.425,C,1
546,0,1,male,64,26,S,0
547,1,2,female,19,26,S,1
548,1,2,male,30,13.8625,C,0
549,0,3,male,33,20.525,S,2
550,1,2,male,8,36.75,S,2
551,1,1,male,17,110.8833,C,2
552,0,2,male,27,26,S,0
553,0,3,male,30,7.8292,Q,0
554,1,3,male,22,7.225,C,0
555,1,3,female,22,7.775,S,0
556,0,1,male,62,26.55,S,0
557,1,1,female,48,39.6,C,1
558,0,1,male,30,227.525,C,0
559,1,1,female,39,79.65,S,2
560,1,3,female,36,17.4,S,1
561,0,3,male,30,7.75,Q,0
562,0,3,male,40,7.8958,S,0
563,0,2,male,28,13.5,S,0
564,0,3,male,30,8.05,S,0
565,0,3,female,30,8.05,S,0
566,0,3,male,24,24.15,S,2
567,0,3,male,19,7.8958,S,0
568,0,3,female,29,21.075,S,4
569,0,3,male,30,7.2292,C,0
570,1,3,male,32,7.8542,S,0
571,1,2,male,62,10.5,S,0
572,1,1,female,53,51.4792,S,2
573,1,1,male,36,26.3875,S,0
574,1,3,female,30,7.75,Q,0
575,0,3,male,16,8.05,S,0
576,0,3,male,19,14.5,S,0
577,1,2,female,34,13,S,0
578,1,1,female,39,55.9,S,1
579,0,3,female,30,14.4583,C,1
580,1,3,male,32,7.925,S,0
581,1,2,female,25,30,S,2
582,1,1,female,39,110.8833,C,2
583,0,2,male,54,26,S,0
584,0,1,male,36,40.125,C,0
585,0,3,male,30,8.7125,C,0
586,1,1,female,18,79.65,S,2
587,0,2,male,47,15,S,0
588,1,1,male,60,79.2,C,2
589,0,3,male,22,8.05,S,0
590,0,3,male,30,8.05,S,0
591,0,3,male,35,7.125,S,0
592,1,1,female,52,78.2667,C,1
593,0,3,male,47,7.25,S,0
594,0,3,female,30,7.75,Q,2
595,0,2,male,37,26,S,1
596,0,3,male,36,24.15,S,2
597,1,2,female,30,33,S,0
598,0,3,male,49,0,S,0
599,0,3,male,30,7.225,C,0
600,1,1,male,49,56.9292,C,1
601,1,2,female,24,27,S,3
602,0,3,male,30,7.8958,S,0
603,0,1,male,30,42.4,S,0
604,0,3,male,44,8.05,S,0
605,1,1,male,35,26.55,C,0
606,0,3,male,36,15.55,S,1
607,0,3,male,30,7.8958,S,0
608,1,1,male,27,30.5,S,0
609,1,2,female,22,41.5792,C,3
610,1,1,female,40,153.4625,S,0
611,0,3,female,39,31.275,S,6
612,0,3,male,30,7.05,S,0
613,1,3,female,30,15.5,Q,1
614,0,3,male,30,7.75,Q,0
615,0,3,male,35,8.05,S,0
616,1,2,female,24,65,S,3
617,0,3,male,34,14.4,S,2
618,0,3,female,26,16.1,S,1
619,1,2,female,4,39,S,3
620,0,2,male,26,10.5,S,0
621,0,3,male,27,14.4542,C,1
622,1,1,male,42,52.5542,S,1
623,1,3,male,20,15.7417,C,2
624,0,3,male,21,7.8542,S,0
625,0,3,male,21,16.1,S,0
626,0,1,male,61,32.3208,S,0
627,0,2,male,57,12.35,Q,0
628,1,1,female,21,77.9583,S,0
629,0,3,male,26,7.8958,S,0
630,0,3,male,30,7.7333,Q,0
631,1,1,male,80,30,S,0
632,0,3,male,51,7.0542,S,0
633,1,1,male,32,30.5,C,0
634,0,1,male,30,0,S,0
635,0,3,female,9,27.9,S,5
636,1,2,female,28,13,S,0
637,0,3,male,32,7.925,S,0
638,0,2,male,31,26.25,S,2
639,0,3,female,41,39.6875,S,5
640,0,3,male,30,16.1,S,1
641,0,3,male,20,7.8542,S,0
642,1,1,female,24,69.3,C,0
643,0,3,female,2,27.9,S,5
644,1,3,male,30,56.4958,S,0
645,1,3,female,1,19.2583,C,3
646,1,1,male,48,76.7292,C,1
647,0,3,male,19,7.8958,S,0
648,1,1,male,56,35.5,C,0
649,0,3,male,30,7.55,S,0
650,1,3,female,23,7.55,S,0
651,0,3,male,30,7.8958,S,0
652,1,2,female,18,23,S,1
653,0,3,male,21,8.4333,S,0
654,1,3,female,30,7.8292,Q,0
655,0,3,female,18,6.75,Q,0
656,0,2,male,24,73.5,S,2
657,0,3,male,30,7.8958,S,0
658,0,3,female,32,15.5,Q,2
659,0,2,male,23,13,S,0
660,0,1,male,58,113.275,C,2
661,1,1,male,50,133.65,S,2
662,0,3,male,40,7.225,C,0
663,0,1,male,47,25.5875,S,0
664,0,3,male,36,7.4958,S,0
665,1,3,male,20,7.925,S,1
666,0,2,male,32,73.5,S,2
667,0,2,male,25,13,S,0
668,0,3,male,30,7.775,S,0
669,0,3,male,43,8.05,S,0
670,1,1,female,30,52,S,1
671,1,2,female,40,39,S,2
672,0,1,male,31,52,S,1
673,0,2,male,70,10.5,S,0
674,1,2,male,31,13,S,0
675,0,2,male,30,0,S,0
676,0,3,male,18,7.775,S,0
677,0,3,male,24,8.05,S,0
678,1,3,female,18,9.8417,S,0
679,0,3,female,43,46.9,S,7
680,1,1,male,36,512.3292,C,1
681,0,3,female,30,8.1375,Q,0
682,1,1,male,27,76.7292,C,0
683,0,3,male,20,9.225,S,0
684,0,3,male,14,46.9,S,7
685,0,2,male,60,39,S,2
686,0,2,male,25,41.5792,C,3
687,0,3,male,14,39.6875,S,5
688,0,3,male,19,10.1708,S,0
689,0,3,male,18,7.7958,S,0
690,1,1,female,15,211.3375,S,1
691,1,1,male,31,57,S,1
692,1,3,female,4,13.4167,C,1
693,1,3,male,30,56.4958,S,0
694,0,3,male,25,7.225,C,0
695,0,1,male,60,26.55,S,0
696,0,2,male,52,13.5,S,0
697,0,3,male,44,8.05,S,0
698,1,3,female,30,7.7333,Q,0
699,0,1,male,49,110.8833,C,2
700,0,3,male,42,7.65,S,0
701,1,1,female,18,227.525,C,1
702,1,1,male,35,26.2875,S,0
703,0,3,female,18,14.4542,C,1
704,0,3,male,25,7.7417,Q,0
705,0,3,male,26,7.8542,S,1
706,0,2,male,39,26,S,0
707,1,2,female,45,13.5,S,0
708,1,1,male,42,26.2875,S,0
709,1,1,female,22,151.55,S,0
710,1,3,male,30,15.2458,C,2
711,1,1,female,24,49.5042,C,0
712,0,1,male,30,26.55,S,0
713,1,1,male,48,52,S,1
714,0,3,male,29,9.4833,S,0
715,0,2,male,52,13,S,0
716,0,3,male,19,7.65,S,0
717,1,1,female,38,227.525,C,0
718,1,2,female,27,10.5,S,0
719,0,3,male,30,15.5,Q,0
720,0,3,male,33,7.775,S,0
721,1,2,female,6,33,S,1
722,0,3,male,17,7.0542,S,1
723,0,2,male,34,13,S,0
724,0,2,male,50,13,S,0
725,1,1,male,27,53.1,S,1
726,0,3,male,20,8.6625,S,0
727,1,2,female,30,21,S,3
728,1,3,female,30,7.7375,Q,0
729,0,2,male,25,26,S,1
730,0,3,female,25,7.925,S,1
731,1,1,female,29,211.3375,S,0
732,0,3,male,11,18.7875,C,0
733,0,2,male,30,0,S,0
734,0,2,male,23,13,S,0
735,0,2,male,23,13,S,0
736,0,3,male,28,16.1,S,0
737,0,3,female,48,34.375,S,4
738,1,1,male,35,512.3292,C,0
739,0,3,male,30,7.8958,S,0
740,0,3,male,30,7.8958,S,0
741,1,1,male,30,30,S,0
742,0,1,male,36,78.85,S,1
743,1,1,female,21,262.375,C,4
744,0,3,male,24,16.1,S,1
745,1,3,male,31,7.925,S,0
746,0,1,male,70,71,S,2
747,0,3,male,16,20.25,S,2
748,1,2,female,30,13,S,0
749,0,1,male,19,53.1,S,1
750,0,3,male,31,7.75,Q,0
751,1,2,female,4,23,S,2
752,1,3,male,6,12.475,S,1
753,0,3,male,33,9.5,S,0
754,0,3,male,23,7.8958,S,0
755,1,2,female,48,65,S,3
756,1,2,male,1,14.5,S,2
757,0,3,male,28,7.7958,S,0
758,0,2,male,18,11.5,S,0
759,0,3,male,34,8.05,S,0
760,1,1,female,33,86.5,S,0
761,0,3,male,30,14.5,S,0
762,0,3,male,41,7.125,S,0
763,1,3,male,20,7.2292,C,0
764,1,1,female,36,120,S,3
765,0,3,male,16,7.775,S,0
766,1,1,female,51,77.9583,S,1
767,0,1,male,30,39.6,C,0
768,0,3,female,30,7.75,Q,0
769,0,3,male,30,24.15,Q,1
770,0,3,male,32,8.3625,S,0
771,0,3,male,24,9.5,S,0
